X,Y,Computed_Area,Computed Perimeter,Border Index,Minimum Ellipse Ratio,Minimum Ellipse Rotation,Minimum Enclosing Circle,Compactness,Edge Count,homogeneity,contrast,dissimilarity,entropy,mean,variance,std.Dev
6.0,2.8,37.0,30.0,225.0,0.552174078272,70.6907501221,6.02792024612,0.51661747694,10.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
3.3,16.2,36.0,28.0,196.0,0.858111794397,159.209732056,4.88571882248,0.577027201653,13.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
8.5,106.3,134.0,62.0,899.0,0.639143987963,96.4837799072,9.67753601074,0.438057661057,33.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
8.8,240.7,103.0,56.0,756.0,0.375362770111,68.100479126,9.71700000763,0.412734746933,31.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
14.8,146.0,116.0,66.0,1056.0,0.53060701543,65.4345169067,10.7535161972,0.334641635418,46.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
18.3,182.6,44.0,32.0,256.0,0.786552503654,81.3254623413,4.77728462219,0.539961278439,22.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
24.9,126.8,140.0,68.0,1156.0,0.446135208582,67.4747085571,10.6619215012,0.380469709635,46.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
28.7,78.8,77.0,44.0,484.0,0.799307970048,100.710906982,6.28696107864,0.499798834324,34.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
42.5,228.3,219.0,110.0,2695.0,0.498642149896,39.1510467529,15.0130195618,0.227440923452,75.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
44.5,162.9,39.0,32.0,256.0,0.622767672897,77.8435745239,5.2519903183,0.478602021933,25.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
52.2,34.6,131.0,76.0,1254.0,0.441709374142,80.527885437,11.743806839,0.285005986691,56.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
50.3,142.7,72.0,52.0,676.0,0.355058212128,54.7005500793,8.524766922,0.334607511759,44.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
63.4,97.3,84.0,48.0,576.0,0.544928302114,72.1748123169,8.49359703064,0.458148956299,31.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
66.8,156.3,75.0,56.0,784.0,0.488982134495,70.1777038574,9.99949169159,0.300535023212,34.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
65.6,184.5,23.0,26.0,169.0,0.685231510915,40.0914993286,3.83857727051,0.427554011345,23.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
70.7,202.2,94.0,60.0,900.0,0.393482796457,49.6452445984,9.00882053375,0.328121900558,50.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
80.7,211.7,51.0,46.0,529.0,0.301158898488,63.1437301636,8.32007980347,0.302875697613,33.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
82.6,29.0,22.0,36.0,324.0,0.27046718172,44.3902740479,6.55488014221,0.213318035007,31.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
89.0,71.7,86.0,52.0,650.0,0.55395731948,47.2008361816,8.44662857056,0.399670064449,37.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
87.8,149.3,10.0,28.0,182.0,0.573394547309,77.1686782837,4.24679851532,0.160285353661,20.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
95.2,83.4,51.0,54.0,702.0,0.283391956914,66.2964172363,9.67597103119,0.219782218337,40.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
90.1,157.4,36.0,38.0,361.0,0.411073060728,39.8236541748,6.02792024612,0.313289016485,33.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
95.9,183.3,79.0,42.0,441.0,0.707374325044,41.909324646,6.45293188095,0.562779664993,30.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
