X,Y
6,2.8
3.3,16.2
8.5,106.3
8.8,240.7
4,273.9
5.2,453.8
2.4,506.4
5.5,557.6
4,578.7
5.3,615.3
4.2,791.9
5,807.5
6.3,882.6
7.5,924.3
7.2,1053.8
3.7,1176.8
5,1267.4
2.2,1293.1
7.2,1362.9
4,1505.5
6.4,1550.4
6.2,1620.9
12.6,760.5
7.6,1668.2
12.5,296.2
14.8,146
11.5,404.4
13.6,1421.8
12.3,874.1
16,390.8
22.3,474.8
17.3,634.2
18.9,491.7
18,940.9
14,1522.2
17,596.7
17.3,578.5
22.7,1135.4
20.1,1318
18.3,182.6
22.7,1735.5
24.9,126.8
21.7,270.6
27.2,416.1
26.8,1592.1
25.4,1661.9
25.2,717.6
21.8,788.3
28.9,975.5
21.4,1288.9
27,1449.1
26.9,862.9
22.7,1708
28.7,78.8
31.6,517.3
33.3,894.6
25.2,1263.9
27.9,1383.9
31.6,1404
31.5,1468.9
33,596.5
31.5,794.2
35.6,554.1
35.5,817.4
37.2,938.9
35.4,347.2
35.4,1527.2
32.1,1545.5
42.5,228.3
35.7,754.9
36.3,1644.1
35.5,1782.1
41.2,392.4
37.7,871.1
37.5,1309.5
41,1615.1
38.7,1054
42.3,1257.9
42.6,580.1
44,923.8
49.8,673.2
44.6,694.7
42.4,1840.5
41.7,857.3
44.5,162.9
45.6,311.5
45.6,333.8
52.2,34.6
45.7,436.9
48.5,456.1
46.4,720.1
44.3,1418.1
50.3,142.7
53.2,1335.5
51.9,1515.8
47.7,367
49.8,1312.3
56.8,646.4
50,1101.8
54,1426.9
51.8,401.6
51.5,710.2
56.9,1161.4
56.5,276
58.3,896.3
56.3,1233.3
53.9,1767.5
55.6,529
57.3,788.3
57.9,841.1
54.6,1816.8
55.3,577.9
56.1,1543.2
60.4,352.6
60.1,817.2
58.7,1261.1
56.8,1471.7
57.3,1575
66.3,627.5
63.4,97.3
57.5,934.6
59.5,1354.8
60.6,1403.2
59.4,1438.6
58.2,1739.6
67.7,1183.4
66.8,156.3
61.5,882.3
62.2,1638.1
66.4,1029.9
68.4,292.4
65.6,184.5
69.2,313.9
71.3,454.9
70.7,202.2
73.7,489.7
67.1,502.2
71.9,1114.9
68.5,1657.3
68.9,1706.1
70.3,410.1
70.7,641.2
71.1,1689.8
71.3,907.2
72.7,1239.6
71,1488.4
73.1,1749.6
77.1,517.9
77.1,1095.2
72.3,1222.9
75.6,874.4
77.8,1348.5
79.8,925.3
76,1399.8
81.2,806.4
77.8,1615.2
80.7,211.7
76.2,343.5
80.7,828.9
85.4,1322.6
