X,Y,Area,Perimeter,Boundaries
2.2,65.5,36,23.752,"1.0,60.0;1.0,61.0;2.0,61.0;2.0,62.0;3.0,62.0;3.0,63.0;4.0,63.0;4.0,68.0;3.0,68.0;3.0,69.0;2.0,69.0;2.0,70.0;1.0,70.0;1.0,71.0;1.0,60.0;"
5.3,107.8,106,39.027,"1.0,108.0;3.0,108.0;3.0,103.0;4.0,103.0;4.0,102.0;5.0,102.0;5.0,101.0;7.0,101.0;7.0,102.0;9.0,102.0;9.0,103.0;10.0,103.0;10.0,108.0;9.0,108.0;9.0,110.0;8.0,110.0;8.0,111.0;7.0,111.0;7.0,112.0;6.0,112.0;6.0,113.0;5.0,113.0;5.0,114.0;2.0,114.0;2.0,115.0;1.0,115.0;1.0,116.0;1.0,108.0;"
3.6,163.1,57,27.515,"1.0,159.0;4.0,159.0;4.0,160.0;6.0,160.0;6.0,161.0;7.0,161.0;7.0,162.0;8.0,162.0;8.0,163.0;7.0,163.0;7.0,164.0;6.0,164.0;6.0,165.0;5.0,165.0;5.0,166.0;3.0,166.0;3.0,167.0;2.0,167.0;2.0,168.0;1.0,168.0;1.0,169.0;1.0,159.0;"
6.9,419.7,161,45.412,"1.0,414.0;5.0,414.0;5.0,413.0;7.0,413.0;7.0,412.0;7.0,413.0;8.0,413.0;8.0,414.0;10.0,414.0;10.0,415.0;11.0,415.0;11.0,416.0;12.0,416.0;12.0,417.0;13.0,417.0;13.0,419.0;14.0,419.0;14.0,420.0;13.0,420.0;13.0,423.0;12.0,423.0;12.0,424.0;11.0,424.0;11.0,425.0;10.0,425.0;10.0,426.0;9.0,426.0;9.0,427.0;8.0,427.0;8.0,428.0;8.0,427.0;7.0,427.0;7.0,426.0;5.0,426.0;5.0,425.0;4.0,425.0;4.0,424.0;1.0,424.0;1.0,414.0;"
3,437.1,46,25.365,"1.0,432.0;1.0,433.0;3.0,433.0;3.0,434.0;4.0,434.0;4.0,435.0;5.0,435.0;5.0,436.0;6.0,436.0;6.0,437.0;6.0,437.0;6.0,438.0;5.0,438.0;5.0,439.0;4.0,439.0;4.0,440.0;3.0,440.0;3.0,441.0;2.0,441.0;2.0,442.0;1.0,442.0;1.0,432.0;"
7.1,550.7,110,42.236,"1.0,545.0;3.0,545.0;3.0,544.0;6.0,544.0;6.0,543.0;6.0,546.0;7.0,546.0;7.0,547.0;8.0,547.0;8.0,548.0;9.0,548.0;9.0,549.0;10.0,549.0;10.0,552.0;12.0,552.0;12.0,553.0;13.0,553.0;13.0,554.0;14.0,554.0;14.0,555.0;13.0,555.0;13.0,556.0;12.0,556.0;12.0,557.0;7.0,557.0;7.0,556.0;6.0,556.0;6.0,553.0;5.0,553.0;5.0,552.0;4.0,552.0;4.0,550.0;3.0,550.0;3.0,549.0;1.0,549.0;1.0,545.0;"
6.4,622.5,86,34.164,"1.0,618.0;3.0,618.0;3.0,619.0;7.0,619.0;7.0,620.0;10.0,620.0;10.0,621.0;11.0,621.0;11.0,622.0;12.0,622.0;12.0,625.0;11.0,625.0;11.0,627.0;10.0,627.0;10.0,628.0;10.0,627.0;9.0,627.0;9.0,626.0;6.0,626.0;6.0,625.0;4.0,625.0;4.0,624.0;1.0,624.0;1.0,618.0;"
4,790.6,31,18.914,"1.0,788.0;3.0,788.0;3.0,789.0;5.0,789.0;5.0,790.0;6.0,790.0;6.0,791.0;7.0,791.0;7.0,792.0;7.0,792.0;7.0,793.0;4.0,793.0;4.0,792.0;3.0,792.0;3.0,791.0;1.0,791.0;1.0,788.0;"
14.3,824.5,326,86.73,"1.0,832.0;3.0,832.0;3.0,831.0;6.0,831.0;6.0,828.0;7.0,828.0;7.0,827.0;8.0,827.0;8.0,826.0;10.0,826.0;10.0,825.0;11.0,825.0;11.0,820.0;10.0,820.0;10.0,819.0;9.0,819.0;9.0,818.0;10.0,818.0;10.0,817.0;12.0,817.0;12.0,816.0;13.0,816.0;13.0,815.0;14.0,815.0;14.0,814.0;15.0,814.0;15.0,813.0;18.0,813.0;18.0,812.0;18.0,813.0;20.0,813.0;20.0,814.0;22.0,814.0;22.0,815.0;23.0,815.0;23.0,816.0;24.0,816.0;24.0,820.0;25.0,820.0;25.0,821.0;26.0,821.0;26.0,822.0;27.0,822.0;27.0,823.0;28.0,823.0;28.0,824.0;27.0,824.0;27.0,825.0;25.0,825.0;25.0,826.0;21.0,826.0;21.0,827.0;15.0,827.0;15.0,828.0;14.0,828.0;14.0,831.0;13.0,831.0;13.0,832.0;12.0,832.0;12.0,833.0;10.0,833.0;10.0,834.0;8.0,834.0;8.0,835.0;7.0,835.0;7.0,836.0;6.0,836.0;6.0,837.0;5.0,837.0;5.0,838.0;2.0,838.0;2.0,839.0;1.0,839.0;1.0,832.0;"
2.5,871.3,39,23.297,"1.0,867.0;3.0,867.0;3.0,868.0;4.0,868.0;4.0,869.0;5.0,869.0;5.0,871.0;4.0,871.0;4.0,873.0;3.0,873.0;3.0,875.0;2.0,875.0;2.0,876.0;1.0,876.0;1.0,877.0;1.0,867.0;"
7.9,1086.2,151,45.23,"1.0,1086.0;3.0,1086.0;3.0,1084.0;4.0,1084.0;4.0,1083.0;5.0,1083.0;5.0,1082.0;6.0,1082.0;6.0,1081.0;9.0,1081.0;9.0,1080.0;10.0,1080.0;10.0,1079.0;11.0,1079.0;11.0,1080.0;13.0,1080.0;13.0,1081.0;14.0,1081.0;14.0,1082.0;15.0,1082.0;15.0,1083.0;15.0,1083.0;15.0,1085.0;14.0,1085.0;14.0,1087.0;13.0,1087.0;13.0,1088.0;12.0,1088.0;12.0,1089.0;11.0,1089.0;11.0,1090.0;10.0,1090.0;10.0,1091.0;9.0,1091.0;9.0,1092.0;2.0,1092.0;2.0,1093.0;1.0,1093.0;1.0,1086.0;"
3.9,1201.1,55,25.993,"1.0,1198.0;8.0,1198.0;8.0,1201.0;7.0,1201.0;7.0,1202.0;6.0,1202.0;6.0,1203.0;5.0,1203.0;5.0,1204.0;3.0,1204.0;3.0,1205.0;2.0,1205.0;2.0,1206.0;1.0,1206.0;1.0,1198.0;"
