row1, row2, col1, col2, homogeneity, contrast, dissimilarity, entropy, mean
1,256,1,256,0.68537,1.078753,0.703202,3.083411,0.015625
1,256,256,512,0.679744,1.130875,0.720963,3.151935,0.015625
1,256,512,768,0.686011,1.11969,0.708862,3.13991,0.015625
1,256,768,1024,0.682004,1.097046,0.711945,3.125952,0.015625
1,256,1024,1280,0.663482,1.218323,0.762482,3.153586,0.015625
1,256,1280,1536,0.684535,1.335602,0.745911,3.027104,0.015625
1,256,1536,1792,0.698967,1.188843,0.698242,3.07221,0.015625
1,256,1792,2048,0.74272,0.910492,0.579803,2.886538,0.015625
1,256,2048,2304,0.728125,0.904327,0.603149,2.92472,0.015625
1,256,2304,2560,0.965358,0.193939,0.086273,0.672372,0.015625
1,256,2560,2816,1,0,0,0,0.015625
1,256,2816,3072,1,0,0,0,0.015625
1,256,3072,3328,1,0,0,0,0.015625
1,256,3328,3584,1,0,0,0,0.015625
1,256,3584,3840,1,0,0,0,0.015625
1,256,3840,4096,1,0,0,0,0.015625
256,512,1,256,0.652378,1.285023,0.792096,3.228253,0.015625
256,512,256,512,0.663268,1.212701,0.761947,3.172673,0.015625
256,512,512,768,0.662001,1.182895,0.759591,3.127049,0.015625
256,512,768,1024,0.679032,1.068899,0.712533,3.019966,0.015625
256,512,1024,1280,0.691253,1.173152,0.708445,3.057327,0.015625
256,512,1280,1536,0.685051,1.327365,0.743677,3.001281,0.015625
256,512,1536,1792,0.674171,1.275961,0.754286,3.16746,0.015625
256,512,1792,2048,0.766136,0.757904,0.515807,2.684399,0.015625
256,512,2048,2304,0.704931,0.946848,0.648969,3.021383,0.015625
256,512,2304,2560,0.966655,0.191771,0.083278,0.671242,0.015625
256,512,2560,2816,1,0,0,0,0.015625
256,512,2816,3072,1,0,0,0,0.015625
256,512,3072,3328,1,0,0,0,0.015625
256,512,3328,3584,1,0,0,0,0.015625
256,512,3584,3840,1,0,0,0,0.015625
256,512,3840,4096,1,0,0,0,0.015625
512,768,1,256,0.672704,1.144289,0.735042,3.160024,0.015625
512,768,256,512,0.707016,0.915537,0.640427,2.955371,0.015625
512,768,512,768,0.690606,0.983737,0.679262,2.964334,0.015625
512,768,768,1024,0.736297,0.888543,0.586925,2.923709,0.015625
512,768,1024,1280,0.732912,1.016856,0.61322,2.849827,0.015625
512,768,1280,1536,0.683878,1.273513,0.73743,3.053008,0.015625
