row1, row2, col1, col2, homogeneity, contrast, dissimilarity, entropy, mean, variance, std.Dev
1.000000, 256.000000, 1.000000, 256.000000, 0.685370, 1.078753, 0.703202, 3.083411, 5.793765, 10.249486, 3.201482 
1.000000, 256.000000, 256.000000, 512.000000, 0.679744, 1.130875, 0.720963, 3.151935, 5.610565, 9.855687, 3.139377 
1.000000, 256.000000, 512.000000, 768.000000, 0.686011, 1.119690, 0.708862, 3.139910, 5.723541, 10.268291, 3.204417 
1.000000, 256.000000, 768.000000, 1024.000000, 0.682004, 1.097046, 0.711945, 3.125952, 5.559845, 9.548611, 3.090083 
1.000000, 256.000000, 1024.000000, 1280.000000, 0.663482, 1.218323, 0.762482, 3.153586, 5.575211, 9.553641, 3.090897 
1.000000, 256.000000, 1280.000000, 1536.000000, 0.684535, 1.335602, 0.745911, 3.027104, 6.174911, 11.304568, 3.362227 
1.000000, 256.000000, 1536.000000, 1792.000000, 0.698967, 1.188843, 0.698242, 3.072210, 5.965530, 11.053430, 3.324670 
1.000000, 256.000000, 1792.000000, 2048.000000, 0.742720, 0.910492, 0.579803, 2.886538, 6.106476, 10.977708, 3.313262 
1.000000, 256.000000, 2048.000000, 2304.000000, 0.728125, 0.904327, 0.603149, 2.924720, 6.074738, 10.893029, 3.300459 
1.000000, 256.000000, 2304.000000, 2560.000000, 0.965358, 0.193939, 0.086273, 0.672372, 1.495743, 2.409094, 1.552125 
1.000000, 256.000000, 2560.000000, 2816.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1.000000, 256.000000, 2816.000000, 3072.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1.000000, 256.000000, 3072.000000, 3328.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1.000000, 256.000000, 3328.000000, 3584.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1.000000, 256.000000, 3584.000000, 3840.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1.000000, 256.000000, 3840.000000, 4096.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
256.000000, 512.000000, 1.000000, 256.000000, 0.652378, 1.285023, 0.792096, 3.228253, 5.584863, 9.851630, 3.138731 
256.000000, 512.000000, 256.000000, 512.000000, 0.663268, 1.212701, 0.761947, 3.172673, 5.639151, 9.902173, 3.146772 
256.000000, 512.000000, 512.000000, 768.000000, 0.662001, 1.182895, 0.759591, 3.127049, 5.643741, 9.748817, 3.122310 
256.000000, 512.000000, 768.000000, 1024.000000, 0.679032, 1.068899, 0.712533, 3.019966, 5.749301, 9.794658, 3.129642 
256.000000, 512.000000, 1024.000000, 1280.000000, 0.691253, 1.173152, 0.708445, 3.057327, 6.068093, 11.099002, 3.331517 
256.000000, 512.000000, 1280.000000, 1536.000000, 0.685051, 1.327365, 0.743677, 3.001281, 6.277845, 11.660996, 3.414820 
256.000000, 512.000000, 1536.000000, 1792.000000, 0.674171, 1.275961, 0.754286, 3.167460, 5.894516, 11.007907, 3.317817 
256.000000, 512.000000, 1792.000000, 2048.000000, 0.766136, 0.757904, 0.515807, 2.684399, 6.423228, 11.294058, 3.360663 
256.000000, 512.000000, 2048.000000, 2304.000000, 0.704931, 0.946848, 0.648969, 3.021383, 5.843416, 10.302572, 3.209762 
256.000000, 512.000000, 2304.000000, 2560.000000, 0.966655, 0.191771, 0.083278, 0.671242, 1.496854, 2.423077, 1.556623 
256.000000, 512.000000, 2560.000000, 2816.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
256.000000, 512.000000, 2816.000000, 3072.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
256.000000, 512.000000, 3072.000000, 3328.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
256.000000, 512.000000, 3328.000000, 3584.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
